step,train_loss,val_loss,lr,tokens_per_sec
50,3.159571,2.318463,0.00008000,4243.4
100,1.641896,1.858748,0.00007860,4679.0
150,2.284265,1.769902,0.00007440,4810.6
200,1.611144,1.736094,0.00006773,4909.4
250,0.682480,1.719952,0.00005914,4967.3
300,1.236508,1.711409,0.00004933,5013.8
350,3.771059,1.709198,0.00003908,5075.8
400,2.282267,1.704008,0.00002923,5114.7
450,2.626282,1.706967,0.00002058,5122.4
500,1.283853,1.702085,0.00001383,5125.6
550,2.208279,1.703698,0.00000952,5184.9
600,1.167236,1.706050,0.00000800,5206.1
