step,train_loss,val_loss,lr,tokens_per_sec
100,5.065912,4.741221,0.00020000,16152.5
200,5.003708,4.647003,0.00019925,17017.5
300,4.721237,4.605019,0.00019696,17833.5
400,4.683813,4.564534,0.00019319,17814.3
500,4.580455,4.539974,0.00018800,18029.5
600,4.145228,4.506317,0.00018147,18157.4
700,4.588222,4.486412,0.00017372,18282.7
800,3.865634,4.477050,0.00016488,18305.6
900,4.053510,4.466361,0.00015510,18295.5
1000,4.331841,4.455715,0.00014455,18364.0
1100,4.331594,4.434674,0.00013341,18397.3
1200,4.644942,4.421954,0.00012186,18320.0
1300,4.596870,4.417475,0.00011012,18380.9
1400,4.340705,4.406769,0.00009837,18399.0
1500,4.375109,4.398853,0.00008682,18423.4
1600,3.592620,4.400876,0.00007567,18386.0
1700,4.221069,4.394229,0.00006510,18359.5
1800,4.437883,4.388657,0.00005530,18376.4
1900,4.211690,4.385099,0.00004644,18386.1
2000,3.771867,4.378634,0.00003867,18408.5
2100,4.206393,4.371301,0.00003212,18439.4
2200,4.570279,4.370431,0.00002690,18438.8
2300,4.233437,4.367645,0.00002310,18465.5
2400,3.924587,4.369975,0.00002079,18478.0
2500,4.166918,4.372549,0.00002000,18478.1
