step,train_loss,val_loss,lr,tokens_per_sec,elapsed_sec
2500,3.096749,3.188454,0.00000716,10549.8,102.7
5000,4.163616,3.008737,0.00001417,10635.1,203.9
7500,3.737313,2.961436,0.00002126,10647.9,305.6
10000,2.970464,2.950140,0.00002500,10681.9,406.9
12500,3.976651,2.946986,0.00002497,10667.0,508.4
15000,2.754684,2.944905,0.00002493,10679.1,609.6
17500,2.983777,2.934942,0.00002486,10699.2,710.3
20000,2.668494,2.929386,0.00002476,10678.7,812.5
22500,3.827813,2.917679,0.00002464,10692.4,913.2
25000,2.324551,2.922068,0.00002450,10700.1,1014.0
27500,3.980775,2.915182,0.00002433,10700.9,1115.8
30000,3.133024,2.914574,0.00002414,10693.8,1217.3
32500,4.056924,2.916674,0.00002393,10692.5,1319.1
35000,3.050375,2.920037,0.00002369,10690.6,1420.5
37500,2.493670,2.904692,0.00002344,10689.0,1522.1
40000,3.227184,2.908352,0.00002316,10690.5,1623.4
42500,3.239912,2.915485,0.00002286,10688.5,1725.1
45000,3.219679,2.902551,0.00002254,10691.3,1826.6
47500,2.439606,2.909548,0.00002221,10689.1,1928.4
50000,3.136870,2.916498,0.00002185,10690.6,2030.1
52500,2.663821,2.906377,0.00002148,10689.6,2131.4
55000,2.849011,2.905601,0.00002109,10691.3,2233.2
57500,3.457466,2.913884,0.00002068,10685.4,2334.9
60000,2.339214,2.909427,0.00002026,10688.1,2436.4
62500,3.877703,2.907145,0.00001983,10688.0,2537.3
65000,4.006766,2.906886,0.00001938,10685.5,2639.8
67500,4.400528,2.909782,0.00001892,10685.0,2741.4
70000,3.047775,2.908979,0.00001845,10684.3,2842.8
72500,2.889158,2.913506,0.00001797,10684.2,2944.5
75000,3.730868,2.898880,0.00001747,10683.5,3046.5
77500,3.106461,2.904765,0.00001697,10681.6,3148.3
80000,3.592999,2.899533,0.00001647,10684.2,3249.3
82500,2.386768,2.898680,0.00001595,10684.3,3351.3
85000,2.776159,2.904029,0.00001544,10682.9,3452.8
87500,3.706314,2.900199,0.00001492,10683.4,3554.2
90000,4.052311,2.900560,0.00001439,10683.6,3655.7
92500,3.013701,2.907748,0.00001387,10683.2,3757.2
95000,2.458799,2.906957,0.00001335,10683.1,3858.6
97500,4.034127,2.907700,0.00001282,10684.5,3960.1
98458,2.306099,2.902658,0.00000250,1822.3,23445.4
