step,train_loss,val_loss,lr,tokens_per_sec
100,6.879759,6.816172,0.00039600,56617.5
200,5.891798,6.127754,0.00059961,59716.2
300,5.718359,5.841581,0.00059637,61127.0
400,5.704293,5.697049,0.00058989,61569.6
500,5.503837,5.620041,0.00058027,61838.1
600,5.623022,5.540114,0.00056760,62245.8
700,4.998749,5.450962,0.00055205,62461.6
800,5.313458,5.460519,0.00053380,62785.2
900,5.134110,5.347438,0.00051308,62853.1
1000,5.172304,5.257723,0.00049014,63016.1
1100,5.193555,5.182600,0.00046526,63009.8
1200,4.735621,5.213842,0.00043873,63149.9
1300,4.943618,5.140532,0.00041088,63221.9
1400,4.903027,5.071119,0.00038205,63337.7
1500,5.136363,5.035333,0.00035259,56105.8
1600,4.797014,5.040993,0.00032286,60624.5
1700,4.649954,5.014243,0.00029321,61370.4
1800,4.666423,4.944784,0.00026401,61619.0
1900,4.721957,4.871253,0.00023561,61639.0
2000,4.770533,4.842637,0.00020835,61978.7
2100,4.753354,4.872047,0.00018257,61976.5
2200,4.859052,4.849597,0.00015858,62053.2
2300,4.689020,4.841800,0.00013668,62174.4
2400,4.617818,4.840165,0.00011711,62223.6
2500,5.155697,4.858413,0.00010014,62393.4
2600,4.467858,4.838818,0.00008595,62376.9
2700,4.811564,4.841325,0.00007473,62376.4
2800,4.993559,4.836342,0.00006660,62385.9
2900,4.708506,4.846128,0.00006167,62390.3
3000,5.074462,4.828010,0.00006000,62389.2
