step,train_loss,val_loss,lr,tokens_per_sec
100,5.542067,7.376735,0.00059976,3610.0
200,4.924022,6.989064,0.00059070,3627.8
300,4.447306,6.739739,0.00056892,3623.1
400,4.715702,6.663494,0.00053550,3634.2
500,4.887287,6.521576,0.00049207,3631.1
600,4.930935,6.500126,0.00044073,3618.2
700,4.442398,6.374062,0.00038399,3608.1
800,4.480729,6.349257,0.00032462,3599.1
900,4.489479,6.269606,0.00026552,3591.7
1000,4.363804,6.201868,0.00020956,3583.6
1100,4.505719,6.209536,0.00015947,3578.8
1200,4.248982,6.129770,0.00011769,3574.2
1300,3.919904,6.115055,0.00008626,3571.2
1400,4.228180,6.099473,0.00006671,3570.3
1500,4.470282,6.095390,0.00006000,3566.3
