step,train_loss,val_loss,lr,tokens_per_sec
1000,5.311233,5.269298,0.00099981,84464.2
2000,4.751757,5.039337,0.00099832,84910.4
3000,4.777688,4.720464,0.00099534,85104.4
4000,4.674511,4.656393,0.00099088,85217.7
5000,4.743443,4.653908,0.00098495,85347.6
6000,4.587789,4.552421,0.00097758,85338.0
7000,4.320739,4.535488,0.00096879,85392.1
8000,4.380403,4.517771,0.00095861,85427.7
9000,4.183340,4.541574,0.00094707,85466.5
10000,4.302123,4.506735,0.00093421,85476.0
11000,4.150926,4.380036,0.00092007,85479.5
12000,4.067096,4.410130,0.00090471,85494.6
13000,3.948225,4.445390,0.00088817,85520.2
