step,train_loss,val_loss,lr,tokens_per_sec
100,6.634778,6.535743,0.00059976,3412.8
200,5.990597,5.997923,0.00059070,3390.1
300,5.948221,5.778218,0.00056892,3393.0
400,6.011747,5.690052,0.00053550,3389.4
500,5.391094,5.569806,0.00049207,3340.3
600,5.224797,5.429894,0.00044073,3289.1
700,5.093845,5.374552,0.00038399,2995.3
800,5.517007,5.362432,0.00032462,2667.5
900,5.255038,5.286930,0.00026552,2506.1
1000,5.170129,5.301277,0.00020956,2567.5
1100,4.981746,5.268040,0.00015947,2637.4
1200,5.402424,5.259869,0.00011769,2698.5
1300,5.193978,5.231980,0.00008626,2747.6
1400,4.753766,5.230041,0.00006671,2793.6
1500,4.935101,5.220627,0.00006000,2833.6
