step,train_loss,val_loss,lr,tokens_per_sec
100,5.676724,7.339400,0.00059943,3406.9
200,5.103669,6.871879,0.00057801,3465.3
300,4.822621,6.711729,0.00052795,3481.4
400,4.844295,6.515381,0.00045504,3473.2
500,5.073384,6.543273,0.00036768,3484.9
600,5.062679,6.361519,0.00027597,3487.9
700,4.546436,6.251335,0.00019050,3494.4
800,4.483012,6.236643,0.00012114,3501.4
900,4.680140,6.228832,0.00007590,3503.9
1000,4.358307,6.197902,0.00006000,3508.8
1100,4.416231,6.182027,0.00015947,3548.7
1200,4.375074,6.157772,0.00011769,3527.7
1300,4.450180,6.160104,0.00008626,3525.7
1400,4.214293,6.107892,0.00006671,3533.0
1500,4.576952,6.145479,0.00006000,3530.1
