step,train_loss,val_loss,lr,tokens_per_sec
500,5.304532,5.735959,0.00059880,24848.4
1000,5.117200,5.217586,0.00059945,24483.6
1500,5.013839,4.997187,0.00059779,23838.8
2000,4.795233,4.776678,0.00059503,23636.5
2500,4.407037,4.668227,0.00059118,23578.1
3000,4.433757,4.677687,0.00058626,23343.8
3500,4.523764,4.514314,0.00058028,23105.8
4000,4.040863,4.555207,0.00057328,22984.6
4500,4.130056,4.487439,0.00056527,22852.4
5000,4.039902,4.553280,0.00055630,22655.9
5500,3.910620,4.438619,0.00054640,22705.2
6000,4.037182,4.462196,0.00053561,22705.8
6500,4.012031,4.388876,0.00052398,22673.4
7000,3.957416,4.366275,0.00051155,22644.7
7500,3.694671,4.256378,0.00049837,22752.1
8000,3.750526,4.410515,0.00048450,22857.3
8500,3.878023,4.329265,0.00047000,22924.4
9000,3.623285,4.351265,0.00045492,22911.3
9500,3.533522,4.344942,0.00043932,22977.3
10000,3.676593,4.178717,0.00042328,22970.3
10500,3.656259,4.246106,0.00040686,23003.7
11000,3.537794,4.320578,0.00039011,23012.2
