step,train_loss,val_loss,lr,tokens_per_sec
500,5.476004,5.605670,0.00059880,25129.3
1000,5.063167,5.119389,0.00059945,25151.4
1500,4.593165,4.887463,0.00059779,25165.7
2000,4.534393,4.801502,0.00059503,25143.2
2500,4.029019,4.687099,0.00059118,25138.2
3000,4.474729,4.530290,0.00058626,25164.6
3500,3.866111,4.491292,0.00058028,25166.3
4000,4.085096,4.553033,0.00057328,25171.4
4500,3.973739,4.369771,0.00056527,25179.1
5000,3.991796,4.413149,0.00055630,25184.0
5500,3.703586,4.324755,0.00054640,25194.6
6000,3.816339,4.272500,0.00053561,25205.8
6500,3.844000,4.224252,0.00052398,25206.9
7000,3.446065,4.278186,0.00051155,25212.7
7500,3.656661,4.272200,0.00049837,25210.7
8000,3.565597,4.205478,0.00048450,25211.3
8500,3.681104,4.168206,0.00047000,25212.2
9000,3.373841,4.091956,0.00045492,25213.2
9500,3.448726,4.136319,0.00043932,25213.0
10000,3.551359,4.072446,0.00042328,25211.6
10500,3.227894,4.051121,0.00040686,25215.6
11000,3.503253,4.113246,0.00039011,25216.2
11500,3.138179,4.100732,0.00037313,25216.2
12000,3.460003,4.110273,0.00035596,25216.4
12500,3.613731,4.145127,0.00033869,25216.9
13000,3.223673,4.062102,0.00032138,25216.7
13500,3.405626,4.120981,0.00030411,25217.6
14000,3.346396,4.156550,0.00028694,25218.3
