step,train_loss,val_loss,lr,tokens_per_sec
1000,5.275512,5.339890,0.00059989,85430.3
2000,5.120638,4.977782,0.00059901,85767.4
3000,4.590466,4.809618,0.00059725,85980.5
4000,4.299966,4.713131,0.00059461,86005.6
5000,4.372622,4.627437,0.00059111,85977.5
6000,4.331028,4.613850,0.00058676,86059.0
7000,4.044699,4.540865,0.00058157,86100.8
8000,4.505234,4.470948,0.00057555,86137.1
9000,4.172874,4.601366,0.00056873,86161.8
10000,4.065284,4.553293,0.00056113,86177.4
11000,4.395000,4.420382,0.00055278,86222.7
12000,4.052510,4.465901,0.00054369,86246.1
13000,4.140257,4.500754,0.00053391,86250.0
14000,4.112171,4.427906,0.00052346,86238.4
15000,4.070067,4.479693,0.00051238,86241.4
16000,4.178359,4.477091,0.00050071,86270.8
17000,4.191000,4.434128,0.00048847,86278.0
18000,4.140025,4.392195,0.00047572,86295.3
19000,4.190508,4.455816,0.00046249,86310.5
20000,4.022271,4.456267,0.00044882,86328.2
21000,3.929326,4.397217,0.00043477,86333.0
22000,4.131128,4.354445,0.00042038,86340.2
23000,3.782463,4.320245,0.00040569,86344.4
24000,4.088034,4.318876,0.00039075,86351.1
25000,3.831285,4.364910,0.00037562,86354.2
26000,4.013629,4.403932,0.00036033,86360.8
27000,4.295301,4.373967,0.00034495,86362.8
28000,3.685897,4.282725,0.00032951,86369.0
29000,3.571445,4.280477,0.00031408,86361.8
30000,3.579087,4.345198,0.00029870,86368.5
31000,3.982910,4.309492,0.00028343,86371.7
32000,3.699582,4.324866,0.00026830,86367.6
33000,3.887447,4.294164,0.00025338,86366.9
34000,4.045630,4.336169,0.00023871,86372.9
35000,3.815213,4.274334,0.00022433,86371.2
36000,3.936807,4.309405,0.00021030,86371.1
37000,3.585988,4.265175,0.00019667,86377.8
38000,3.872831,4.249257,0.00018346,86379.3
39000,3.906359,4.273374,0.00017074,86388.0
40000,3.703985,4.230083,0.00015854,86397.3
41000,3.669024,4.249708,0.00014690,86406.3
42000,4.108804,4.206849,0.00013586,86419.0
43000,3.663672,4.241168,0.00012545,86425.4
44000,3.872252,4.223441,0.00011571,86434.3
45000,4.085853,4.227351,0.00010667,86443.1
46000,3.888964,4.237067,0.00009837,86451.1
47000,3.869382,4.254051,0.00009082,86455.2
48000,3.673885,4.268346,0.00008405,86455.8
49000,3.700286,4.227337,0.00007808,86464.1
50000,3.839137,4.238286,0.00007294,86470.9
51000,3.902500,4.227600,0.00006864,86474.6
52000,3.763105,4.260840,0.00006520,86477.3
53000,3.949616,4.233302,0.00006262,86479.4
54000,3.692750,4.274802,0.00006091,86481.5
55000,3.909586,4.244066,0.00006008,86483.3
