step,train_loss,val_loss,lr,tokens_per_sec
1000,5.585828,5.408372,0.00059940,72588.1
2000,4.759996,5.065203,0.00059955,73667.5
3000,4.622404,4.862657,0.00059820,73988.8
4000,4.726102,4.693705,0.00059596,74147.4
5000,4.296224,4.647095,0.00059284,74196.0
6000,4.015947,4.613831,0.00058883,74157.1
7000,4.216587,4.498918,0.00058397,74204.2
8000,4.327861,4.406709,0.00057826,74262.4
9000,4.533680,4.405353,0.00057172,74300.0
10000,4.008236,4.367965,0.00056438,74317.1
11000,3.871449,4.436660,0.00055625,74303.9
12000,3.854921,4.477906,0.00054738,74279.1
13000,3.715314,4.338120,0.00053777,74291.7
14000,3.990762,4.409970,0.00052748,74298.0
15000,4.122471,4.320322,0.00051653,74294.1
16000,4.091654,4.348230,0.00050495,74290.3
17000,3.932667,4.305903,0.00049280,74301.8
18000,4.028369,4.289180,0.00048010,74291.3
19000,4.029346,4.230756,0.00046690,74293.3
20000,3.376541,4.195250,0.00045324,74300.8
21000,3.743942,4.304181,0.00043918,74321.1
22000,3.777777,4.278539,0.00042475,74335.4
23000,3.983775,4.317892,0.00041000,74348.0
24000,3.798216,4.265439,0.00039499,74319.2
25000,3.792712,4.222428,0.00037976,74276.7
26000,3.645501,4.312441,0.00036437,74226.0
27000,3.898330,4.236348,0.00034886,74197.0
28000,3.838549,4.222965,0.00033329,74144.1
29000,3.958881,4.301813,0.00031771,74102.6
30000,3.749021,4.289813,0.00030216,74057.1
31000,3.851020,4.309525,0.00028672,74026.4
32000,3.429464,4.325237,0.00027141,74019.1
33000,3.963963,4.179664,0.00025630,74028.6
34000,3.766793,4.233952,0.00024144,74015.3
35000,4.256574,4.246334,0.00022687,74008.8
36000,4.099143,4.239129,0.00021264,74018.3
37000,3.874112,4.210066,0.00019881,74022.2
38000,3.886992,4.255757,0.00018541,74035.2
39000,3.864689,4.224231,0.00017250,74038.2
40000,3.881799,4.288573,0.00016011,74020.7
41000,3.698986,4.212441,0.00014828,74027.8
42000,3.490140,4.198177,0.00013706,72403.2
1000,5.675374,5.519625,0.00059940,31535.8
43000,3.944690,4.256894,0.00012649,70331.7
2000,4.972938,4.949562,0.00059955,31725.0
44000,3.737660,4.225303,0.00011659,68458.0
3000,4.536622,4.930097,0.00059820,31757.8
45000,3.667686,4.224604,0.00010740,66731.7
4000,4.316039,4.680794,0.00059596,31726.7
46000,3.904791,4.209027,0.00009896,65159.6
5000,4.278173,4.546981,0.00059284,31704.9
47000,4.044341,4.207090,0.00009128,63724.6
6000,4.392699,4.461082,0.00058883,31688.3
48000,3.852462,4.229045,0.00008440,62419.4
7000,4.240418,4.545775,0.00058397,31707.6
49000,3.821766,4.204885,0.00007834,61217.1
8000,3.827542,4.371800,0.00057826,31718.2
50000,3.691420,4.236297,0.00007311,60103.9
9000,4.250158,4.486057,0.00057172,31728.6
51000,4.105097,4.145675,0.00006875,59074.6
10000,3.992700,4.369639,0.00056438,31737.1
52000,3.705638,4.190214,0.00006525,58101.1
11000,4.426151,4.518808,0.00055625,31730.4
53000,3.693898,4.164881,0.00006263,57203.8
12000,4.256740,4.449225,0.00054738,31727.1
54000,3.879645,4.176559,0.00006091,56362.5
13000,4.376746,4.390582,0.00053777,31724.5
55000,3.844370,4.229382,0.00006008,55576.6
14000,3.909894,4.400172,0.00052748,31718.1
15000,4.178212,4.355184,0.00051653,32830.0
16000,3.756631,4.340345,0.00050495,34023.0
17000,3.927016,4.320869,0.00049280,35130.5
18000,3.871920,4.283982,0.00048010,36188.9
19000,4.054479,4.329972,0.00046690,37192.0
20000,4.074716,4.416366,0.00045324,38143.5
21000,3.512470,4.437975,0.00043918,39047.8
22000,3.849636,4.369249,0.00042475,39907.8
23000,4.117874,4.377241,0.00041000,40729.3
24000,3.738971,4.339303,0.00039499,41514.4
25000,4.129962,4.331674,0.00037976,42259.3
26000,3.589385,4.317103,0.00036437,42970.7
27000,3.984113,4.340999,0.00034886,43650.6
28000,3.821114,4.283935,0.00033329,44299.1
29000,3.903164,4.331963,0.00031771,44926.9
30000,3.838139,4.225134,0.00030216,45530.2
31000,3.698730,4.281832,0.00028672,46099.7
32000,3.628232,4.225053,0.00027141,46651.0
33000,3.633562,4.227319,0.00025630,47181.6
34000,3.849107,4.210318,0.00024144,47692.7
35000,3.878518,4.214904,0.00022687,48184.0
36000,3.763189,4.181313,0.00021264,48660.1
37000,4.047546,4.187633,0.00019881,49118.3
38000,3.716280,4.194740,0.00018541,49562.6
39000,3.850292,4.167838,0.00017250,49996.6
40000,3.440109,4.221160,0.00016011,50412.0
41000,3.940928,4.177270,0.00014828,50810.0
42000,3.624027,4.235521,0.00013706,51198.8
43000,3.942131,4.230293,0.00012649,51574.3
44000,3.782166,4.229069,0.00011659,51932.5
45000,3.835508,4.203103,0.00010740,52279.9
46000,3.611403,4.216471,0.00009896,52619.9
47000,3.957674,4.201894,0.00009128,52941.3
48000,3.848390,4.150588,0.00008440,53257.9
49000,3.875987,4.192779,0.00007834,53568.6
50000,4.052405,4.221237,0.00007311,53869.6
51000,3.444210,4.198823,0.00006875,54158.8
52000,3.814628,4.179744,0.00006525,54445.9
53000,3.496780,4.219289,0.00006263,54719.4
54000,3.849886,4.220463,0.00006091,54985.6
55000,3.760096,4.195693,0.00006008,55244.7
